0,0,1,2,3,4,5,6,7,8,9
0,559,4451,48,58,20,5,6,80,434,435
0,531,3651,38,12,4,5,6,7,54,153
1,82,3489,18,3,4,5,71,80,8,120
0,198,1504,18,30,20,5,6,72,135,136
0,600,3777,18,3,4,5,6,26,27,602
1,123,79,48,25,20,5,6,7,8,9
0,179,2989,48,12,4,5,6,7,54,9
0,441,2321,48,19,20,5,6,26,35,99
0,2614,1083,139,25,20,5,6,26,35,99
0,144,3563,38,42,20,13,6,7,146,147
0,1287,729,2,19,20,5,6,26,887,1289
0,313,4636,38,19,20,5,6,26,465,466
0,622,3602,2,19,20,5,6,26,35,522
0,5304,749,48,19,20,5,6,80,8,94
1,803,668,112,25,20,5,6,45,66,9
0,200,448,2,19,20,5,6,26,202,203
1,362,442,2,12,4,5,6,45,54,9
0,879,1840,2,42,20,5,6,26,54,153
0,362,3682,112,58,20,5,6,72,54,9
0,142,4114,38,30,20,5,6,45,8,9
0,1401,5168,38,3,4,5,6,26,54,153
0,330,378,2,30,20,5,6,7,54,586
0,1371,4572,2,58,4,5,71,80,683,9
1,92,164,38,12,4,13,6,26,8,94
1,1078,847,18,25,20,5,6,7,54,153
1,36,848,38,3,4,13,6,26,8,39
0,1536,2885,24,30,20,13,6,7,181,182
0,705,2637,2,25,20,5,6,72,135,136
0,245,2360,48,12,4,5,6,26,54,153
1,307,1863,2,12,4,5,6,26,8,9
0,609,1748,2,42,20,5,6,72,8,3115
1,717,79,48,30,20,5,6,26,135,136
1,155,359,139,58,4,5,6,45,8,9
0,399,3215,2,12,4,5,6,7,219,220
0,372,3615,38,30,20,5,6,7,31,9
0,1209,2015,48,58,20,96,6,7,35,9
1,125,1332,2,3,4,5,71,7,127,128
1,1255,1761,48,30,20,5,6,26,54,153
1,1085,4596,2,30,20,5,6,26,8,9
1,829,442,18,58,20,5,6,26,54,153
1,386,1804,18,58,20,5,6,26,8,9
0,1015,2278,112,30,20,5,6,26,1016,1917
1,268,166,48,25,20,5,6,72,8,9
1,412,166,18,42,20,5,6,26,27,261
1,351,1277,112,25,20,5,6,7,62,702
0,437,2643,2,12,4,5,6,45,66,9
0,82,4231,18,30,20,5,6,80,8,120
0,1519,3790,24,12,4,5,6,7,8,39
1,527,631,38,25,20,5,6,72,135,136
0,480,4731,2,19,20,13,6,7,219,9
1,829,263,18,30,20,13,6,45,54,153
0,118,3932,38,19,20,5,6,7,8,355
0,717,1233,112,3,4,5,6,72,135,136
1,241,1153,112,19,20,5,71,26,8,9
0,773,2145,112,30,20,5,6,45,66,9
1,259,848,112,30,20,5,6,7,27,261
0,239,3609,2,58,4,5,6,45,66,9
1,36,282,112,58,20,5,6,45,8,39
0,224,1864,38,42,20,5,6,26,35,99
0,829,1357,24,25,20,13,6,26,54,153
1,531,4757,38,58,20,13,6,26,54,153
1,879,282,2,3,4,5,6,7,54,9
0,1061,526,112,58,20,5,6,45,233,1063
0,243,1546,112,42,20,96,6,26,8,9
0,40,2688,48,3,4,5,6,80,8,9
1,2074,4939,18,58,20,5,6,7,8,9
0,888,2158,24,25,20,5,6,26,219,220
1,1122,3757,2,12,4,5,6,26,54,153
0,268,2541,48,25,20,5,6,45,8,9
0,315,1791,112,42,20,5,6,72,317,318
0,292,3818,48,58,20,13,6,45,54,294
1,1530,670,2,3,4,5,6,26,135,136
0,971,4851,2,25,20,5,6,26,35,3591
0,501,2247,112,19,20,5,6,45,66,9
0,229,1307,2,19,20,5,6,26,8,43
0,427,889,139,58,4,5,6,26,428,429
0,144,2815,2,25,20,13,6,7,146,147
1,888,164,139,30,20,5,6,26,219,220
0,4366,2027,139,19,20,5,6,14,8,9
1,1087,282,2,12,4,5,6,26,27,9
1,2086,1602,48,3,4,5,6,7,2087,2088
0,453,1843,112,12,4,5,6,72,454,455
0,354,1605,2,42,20,5,6,45,66,9
1,503,4234,139,19,20,5,6,80,15,505
1,663,442,18,58,20,5,6,45,54,586
1,270,282,18,30,20,5,6,72,35,272
0,259,1084,48,58,20,5,6,80,27,9
1,1331,164,48,19,20,5,6,26,189,9
0,950,2426,2,58,4,5,6,14,791,792
0,879,1604,139,58,4,5,6,26,54,153
1,857,166,18,3,4,5,6,72,8,120
0,236,1788,48,25,20,5,6,72,27,238
1,321,3304,18,58,20,5,6,7,8,9
0,527,1794,18,19,20,5,6,26,135,136
1,412,166,139,19,20,5,6,7,27,261
0,1053,1659,48,58,20,13,6,26,35,9
1,898,212,2,3,4,5,6,26,634,900
1,538,2061,2,3,4,5,6,7,102,9
1,1061,1062,18,25,20,5,6,26,233,1063
0,485,4772,2,3,4,5,71,7,161,9
1,224,324,18,42,20,5,6,7,35,99
0,676,2378,48,58,20,5,6,72,8,419
1,717,282,2,25,20,5,6,26,135,136
0,1032,2053,38,19,20,13,6,26,8,9
0,2086,3766,24,42,20,5,6,7,2087,2088
1,1053,4620,18,25,20,13,6,26,35,9
0,1020,1612,38,42,20,5,6,26,54,153
0,4788,1065,48,30,20,13,6,7,8,120
1,1331,2444,18,25,20,5,71,26,189,9
0,527,2122,48,12,4,5,6,26,135,136
1,40,37,18,25,20,13,6,72,8,9
0,368,4114,2,3,4,5,6,72,135,136
0,1096,476,139,19,20,5,6,26,31,337
0,236,3861,139,30,20,5,6,26,27,238
0,389,1640,139,19,20,13,6,26,54,153
1,183,282,18,30,20,5,6,26,35,9
0,343,4380,112,42,20,5,6,26,135,136
0,475,3768,38,3,4,5,71,26,49,1815
0,630,4078,48,42,20,5,6,7,54,153
1,125,2146,2,3,4,5,6,26,127,128
0,82,1598,2,58,4,5,6,7,8,84
0,4394,2062,38,30,20,5,6,26,8,4395
0,224,1031,2,25,20,13,6,14,35,99
1,606,442,48,30,20,5,6,45,66,9
1,245,338,2,30,20,5,6,26,54,153
1,121,438,2,19,20,13,6,45,35,9
1,52,70,38,3,4,5,6,80,54,55
1,829,41,18,3,4,5,6,45,66,9
0,349,472,38,3,4,5,6,45,8,9
1,1168,1280,48,12,4,5,6,26,54,153
1,571,2113,18,3,4,5,6,72,135,136
1,5275,166,2,25,20,5,6,7,634,635
1,311,41,2,42,20,5,6,7,27,9
0,1018,4363,24,30,20,5,6,26,8,84
0,386,3867,48,42,20,5,6,72,8,9
0,321,3897,112,12,4,5,6,45,66,9
0,259,510,48,3,4,5,6,72,27,602
0,1702,3554,38,3,4,5,6,26,8,1300
0,52,963,112,30,20,5,6,26,54,55
0,259,645,18,58,20,13,6,14,27,261
0,148,3801,18,25,20,5,71,7,150,9
0,3756,5126,139,3,4,5,6,26,54,153
0,2353,608,2,58,4,5,6,26,161,511
0,974,3716,2,25,20,5,6,45,66,9
0,389,2878,18,19,20,5,6,26,54,9
0,4528,2206,38,25,20,5,71,26,8,9
1,40,2792,112,30,20,5,6,26,8,9
0,1675,3178,2,58,4,5,6,26,1003,1677
0,1222,1874,18,58,20,5,6,26,35,99
1,313,237,38,25,20,5,6,26,54,9
0,498,2131,2,19,20,5,71,26,35,99
0,588,3263,48,58,20,13,6,7,589,590
0,1207,2678,38,19,20,5,6,45,66,9
1,1179,77,112,19,20,5,6,26,2099,9
0,100,4473,2,12,4,5,6,7,102,9
1,259,164,2,42,20,13,6,80,27,261
1,236,743,18,42,20,13,6,26,27,238
1,399,3047,48,25,20,5,6,26,219,220
0,345,4607,24,12,4,5,6,7,35,347
0,971,1109,18,58,20,5,6,26,35,9
0,789,3305,112,12,4,5,6,7,791,792
0,303,1429,24,12,4,5,6,45,8,9
0,818,2585,2,3,4,13,6,7,8,9
0,3106,4764,2,25,20,5,6,26,35,99
0,82,1849,139,30,20,5,6,26,8,84
0,402,932,2,58,4,13,6,72,8,404
0,241,430,2,58,4,5,6,7,8,9
